patterns,tags
အားလုံးမင်္ဂလာပါ,死んだ
ဝါး,メロ
အတန်းထဲတွင်ဝမ်းလျှေခြင်းမိစံဘယ်ရောက်နေလဲ,メロ
ပါးစပ်ထဲတွင်ဝမ်းလျှေခြင်း,メロ
ါးစပ်ထဲတွင်ဝမ်းလျှေခြင်ပါးစပ်ထဲတွင်ဝမ်းလျှေခြင်,メロ
အခေါက်အသားကင်,メロ
အခေါက်အသားကင်,メロ
အခေါက်အသားကင်,メロ
ဝါး,メロ
ဟာမလုပ်ပါနဲ့ဗျာကျွန်တော်နိုင်သွားဥိးမယ်,အခေါက်အသားကင်
မခင်တတ်ဘူးဗျ,အခေါက်အသားကင်
တစ်ကယ့်ကောင်,အခေါက်အသားကင်
တယ်နောင်တော်,အခေါက်အသားကင်
တစ်ကမ္ဘာလုံးကကျေးကျွန်တွေနိုးထကြလောအိပ်ယာပေါ်ကနေ,အခေါက်အသားကင်
တုံ့တုံ့တုံ့တန်တုုံတုံ့,အခေါက်အသားကင်
ကဗျာဆန်လှချည်လာနောင်တော်,အခေါက်အသားကင်
ဘိုင်ဝမ်းချမလား,အခေါက်အသားကင်
မဂ်လာပါခင်ဗျ,အခေါက်အသားကင်
မဟုတ်လဲမင်းသူရဲ့ထဲရောက်နေတာဘဲလေတော့လိုက်နာပါ,အခေါက်အသားကင်
ထိုစကားလုံးသည်နောင်တော်တို့အားလည်းစိတ်အနှာက်ယှက်ဖြစ်စေသည်မိစံဘယ်ရောက်နေလဲထိုစကားလုံးသုံးသူတို့အားခွင့်မလွှတ်သင့်ကြောင်းပါနုမတော်,အခေါက်အသားကင်
ဝင်းနင်းပုကအဲဒါကိုကြိုက်တယ်,အခေါက်အသားကင်
မလျောဘူးဗျ,အခေါက်အသားကင်
အာယိုနိမာ,အခေါက်အသားကင်
ဝု,အခေါက်အသားကင်
သရဲဒွေမကောင်းဘူးဟွန်း,အခေါက်အသားကင်
ခရင့်မဖြစ်ပါကြောင်းပါနှမတော်,အခေါက်အသားကင်
အမှန်ပင်ဖြစ်သည်နောင်တော်,အခေါက်အသားကင်
တယ်နောင်တော်,အခေါက်အသားကင်
ဝိတွေသောက်နေတာလား,အခေါက်အသားကင်
ဒစ်စကော့မှာစကားပြောပါတယ်,အခေါက်အသားကင်
ကျွန်တော်ဂိမ်းကစားပါတယ်,အခေါက်အသားကင်
ကျွန်တော့ကိုးကနေငါးအထိအလုပ်လုပ်ပညတယ့,အခေါက်အသားကင်
သာမာန်ဘဝနဲ့နေပါတယ်,အခေါက်အသားကင်
ကျွန်တော်ကသာမာန်ဒေါက်ပါ,အခေါက်အသားကင်
ဟုတ်,အခေါက်အသားကင်
အာဝူးး,အခေါက်အသားကင်
ဟုတ်မှာမတ်သစ်ပါဗျ,အခေါက်အသားကင်
အာဝူးးဝုတ်ဝုတ်ဂါးးအားးဝူးးဝုတ်တတတတတတ်,အခေါက်အသားကင်
အသားစားဝေလငါးကိုကြိုက်တယ်ဗျာ,အခေါက်အသားကင်
ဟိုးဟိမဝန်နာတောင်ရဲ့ဘေးမိုင်လျှေက်လိုက်ပြိးဘယ်ကွေညာကွေညာကွ့ဘယ်ကွေအောက်ဆင်းအပေါ်တက်ရင်ရောက်ပါပြိခင်ဗျ,အခေါက်အသားကင်
စင်မြင့်အထက်က,အခေါက်အသားကင်
နောင်တော်အနောက်လဲသေချာကြည်အိပ်ပါနောင်တော်တော်ကြာအရိပ်မဲ့ကြိးကြည်နေဥိးမယ်နောင်တော်,အခေါက်အသားကင်
ကောင်းသောညချမ်းပါနောင်တော်,အခေါက်အသားကင်
ကျွန်တော်အိမ်မှာနေတာပါ,အခေါက်အသားကင်
ကျွန်တော်အမဲလိုက်အကအိမ်သာတက်တိုင်းဆိုပါတယ်,အခေါက်အသားကင်
ဟု,အခေါက်အသားကင်
ကျွန်တော်မျိူလဲထောက်ခံပါသည်အရှင်မ,အခေါက်အသားကင်
မသုံးပါနဲ့ဆိုတာတောင်အိမ်ဂလိပ်လိုအိုခေရေးသွားသေးတယ်,အခေါက်အသားကင်
ဤနေရာသည်ဗမာစကားအသုံးပြုသောနေရာဖြစ်သည်မျက်နာဖြူစကားမသုံးသင့်ပါ,အခေါက်အသားကင်
မင်းစကားကိုကြည့်ပြောလို့ပြောတာ,အခေါက်အသားကင်
အဖြူရောင်တူငယ်ချင်းတို့,အခေါက်အသားကင်
မျက်နှာဖြူစကားပြောသောကြောင့်သင့်ကိုယ်သင်ဆပ်စုပ်သင့်ပေသည်နောင်တော်,အခေါက်အသားကင်
တိုင်းတပါးမျက်နှာဖြူတွေရဲ့စကားပြောသူအားတွေ့ရှိ,အခေါက်အသားကင်
ကိုယ်တော်တို့နမတော်၏မိန့်ကြားတဲ့အတိုင်းအယုတယပြည့်ကိုပြန်လညိသိမ်းပိုက်ကြပါစို့လား,အခေါက်အသားကင်
မေခလာပါနောင်တော်တို့,အခေါက်အသားကင်
နောင်တော်အိမ်တော်လာခဲ့နောင်တော်ယိကွန်မန်းပေးမယ်,အခေါက်အသားကင်
ဟုတ်,အခေါက်အသားကင်
နောင်တော်ဤစကားသည်ကျွနှ်ပ်တို့အားအနှောက်ယှက်ဖြစ်စေပါ၏ဤစကားအားထပ်မသုံးရင်မေတ္တာရပ်ခံအပ်ပါသည်,အခေါက်အသားကင်
နောင်တော်ခရစ်ဂျပန်ကာတွန်းကာတွင်ဘာလာလုပ်နေသနည်း,အခေါက်အသားကင်
အကိုကြိးတော့ရှိတယ်,အခေါက်အသားကင်
ကိုာစားတာကိုယ်ရှင်း,အခေါက်အသားကင်
